                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7293,                 2.4118,                 1.0684,                0.28081,                0.18012,                0.13832,                 0.0769,                 1.5895,                 1.5409,                 1.0216,              0.0033251,              0.0033251,              0.0033251
                      1,                 1.6428,                 1.6016,                 1.0299,                0.27347,                0.22777,                0.18793,                0.10299,                 1.5709,                 1.4244,                 1.0164,              0.0065925,              0.0065925,              0.0065925
                      2,                 1.6608,                 1.5263,                 1.0238,                0.28717,                0.25482,                0.21381,                0.11776,                 1.5817,                 1.3935,                  1.021,              0.0097939,              0.0097939,              0.0097939
                      3,                 1.6376,                  1.471,                 1.0194,                 0.2961,                0.25752,                0.22516,                0.12737,                 1.5377,                 1.3497,                 1.0036,               0.009703,               0.009703,               0.009703
                      4,                 1.5961,                 1.3847,                 1.0065,                0.34665,                0.26397,                0.23766,                0.13455,                 1.5671,                  1.304,                 1.0047,               0.009703,               0.009703,               0.009703
                      5,                 1.5656,                 1.3369,                0.99887,                0.34534,                 0.2642,                0.24997,                0.14144,                 1.5039,                 1.2699,                0.98997,               0.009604,               0.009604,               0.009604
                      6,                 1.5433,                  1.294,                0.99206,                0.35377,                0.29763,                0.26843,                0.15563,                 1.4749,                  1.206,                0.98483,               0.009505,               0.009505,               0.009505
                      7,                  1.527,                 1.2632,                0.98883,                0.37695,                0.29351,                0.27776,                0.16001,                 1.4468,                 1.1718,                0.97194,               0.009406,               0.009406,               0.009406
                      8,                 1.5152,                 1.2327,                0.98297,                0.36122,                0.30231,                0.27995,                 0.1598,                 1.4664,                 1.1845,                0.98159,               0.009307,               0.009307,               0.009307
                      9,                 1.4967,                 1.2083,                0.97971,                0.38742,                0.30989,                 0.2953,                0.17156,                 1.4278,                 1.1404,                0.97282,               0.009208,               0.009208,               0.009208
                     10,                 1.4911,                 1.1948,                0.97762,                0.38326,                0.30936,                0.29526,                0.17253,                 1.4185,                 1.1496,                0.97015,               0.009109,               0.009109,               0.009109
                     11,                 1.4787,                 1.1741,                0.97263,                0.38985,                0.30871,                0.30064,                 0.1742,                 1.4249,                 1.1282,                0.96863,                0.00901,                0.00901,                0.00901
                     12,                  1.473,                 1.1589,                0.97108,                0.41551,                0.32378,                0.31203,                0.18182,                 1.4131,                 1.1049,                0.96846,               0.008911,               0.008911,               0.008911
                     13,                 1.4642,                 1.1507,                0.96892,                0.42989,                0.32443,                0.31804,                0.18671,                 1.4098,                 1.1128,                 0.9667,               0.008812,               0.008812,               0.008812
                     14,                 1.4588,                 1.1358,                0.96468,                0.43198,                0.32806,                0.32301,                0.18992,                 1.4042,                  1.096,                0.95905,               0.008713,               0.008713,               0.008713
                     15,                 1.4449,                 1.1243,                0.96413,                0.41418,                0.33299,                0.32366,                0.18857,                 1.3938,                 1.0907,                0.95924,               0.008614,               0.008614,               0.008614
                     16,                 1.4412,                 1.1123,                0.96223,                0.41859,                0.33501,                0.32925,                0.19429,                 1.3852,                  1.076,                0.95878,               0.008515,               0.008515,               0.008515
                     17,                 1.4443,                   1.11,                 0.9632,                0.41757,                0.33027,                0.32513,                0.19024,                 1.3854,                 1.0811,                 0.9566,               0.008416,               0.008416,               0.008416
                     18,                 1.4297,                 1.1012,                0.95901,                0.42781,                  0.337,                0.33585,                 0.1966,                 1.3812,                 1.0549,                0.95653,               0.008317,               0.008317,               0.008317
                     19,                 1.4242,                 1.0898,                0.95952,                0.42518,                0.33373,                0.32941,                0.19209,                   1.39,                 1.0692,                0.95247,               0.008218,               0.008218,               0.008218
                     20,                 1.4247,                 1.0856,                0.95657,                0.43638,                0.33524,                0.33493,                0.19677,                 1.3771,                 1.0544,                 0.9501,               0.008119,               0.008119,               0.008119
                     21,                 1.4161,                 1.0768,                0.95402,                0.43984,                 0.3369,                0.33898,                0.19895,                 1.3618,                 1.0566,                 0.9506,                0.00802,                0.00802,                0.00802
                     22,                 1.4141,                 1.0713,                0.95371,                0.43708,                0.34128,                0.34306,                0.20293,                 1.3599,                 1.0444,                0.94981,               0.007921,               0.007921,               0.007921
                     23,                 1.4016,                 1.0578,                0.95241,                0.45193,                0.33605,                0.33866,                0.19867,                 1.3638,                 1.0502,                0.95021,               0.007822,               0.007822,               0.007822
                     24,                 1.4004,                  1.055,                0.95278,                0.45955,                0.34663,                0.34527,                0.20359,                 1.3599,                 1.0382,                0.95046,               0.007723,               0.007723,               0.007723
                     25,                 1.3939,                 1.0528,                 0.9496,                0.44139,                0.35097,                0.34911,                0.20606,                 1.3524,                 1.0318,                0.94773,               0.007624,               0.007624,               0.007624
                     26,                 1.3921,                 1.0454,                0.94848,                0.46077,                0.34145,                0.34558,                0.20576,                 1.3495,                 1.0248,                0.94392,               0.007525,               0.007525,               0.007525
                     27,                 1.3943,                  1.046,                0.94858,                0.45351,                0.34929,                0.35487,                0.20852,                 1.3518,                 1.0214,                0.94635,               0.007426,               0.007426,               0.007426
                     28,                 1.3862,                 1.0322,                0.94727,                0.44023,                0.34786,                 0.3476,                0.20517,                 1.3508,                 1.0227,                0.94451,               0.007327,               0.007327,               0.007327
                     29,                 1.3896,                 1.0332,                0.94581,                0.46567,                0.35421,                 0.3618,                0.21523,                 1.3371,                 1.0075,                0.94164,               0.007228,               0.007228,               0.007228
                     30,                 1.3799,                 1.0252,                0.94337,                0.47437,                0.34754,                0.35792,                0.21117,                 1.3409,                 1.0142,                0.94355,               0.007129,               0.007129,               0.007129
                     31,                  1.386,                 1.0291,                0.94383,                0.44819,                0.34868,                0.35391,                0.20943,                 1.3547,                 1.0159,                0.94366,                0.00703,                0.00703,                0.00703
                     32,                 1.3761,                  1.025,                0.94524,                0.46507,                0.34772,                0.35808,                0.21242,                 1.3394,                 1.0028,                0.94223,               0.006931,               0.006931,               0.006931
                     33,                 1.3837,                 1.0218,                 0.9439,                0.46044,                0.36116,                 0.3636,                0.21444,                 1.3339,                 1.0021,                0.94082,               0.006832,               0.006832,               0.006832
                     34,                 1.3794,                 1.0149,                0.94481,                0.45561,                0.35818,                 0.3662,                 0.2188,                 1.3386,                 1.0011,                0.94129,               0.006733,               0.006733,               0.006733
                     35,                 1.3785,                 1.0133,                0.94175,                 0.4582,                0.35636,                0.35758,                0.21163,                 1.3369,                 1.0022,                0.94051,               0.006634,               0.006634,               0.006634
                     36,                 1.3659,                 1.0077,                0.94096,                0.46464,                 0.3571,                0.36078,                0.21485,                 1.3296,                0.99607,                0.93919,               0.006535,               0.006535,               0.006535
                     37,                 1.3588,                0.99461,                0.93825,                0.47004,                0.35625,                0.36591,                0.21805,                 1.3271,                0.99315,                 0.9383,               0.006436,               0.006436,               0.006436
                     38,                 1.3651,                 1.0086,                0.94012,                0.47747,                0.35596,                0.36711,                0.21819,                 1.3296,                0.99793,                0.93917,               0.006337,               0.006337,               0.006337
                     39,                 1.3589,                0.99695,                0.94027,                0.47399,                0.35444,                0.36891,                0.21799,                 1.3248,                 0.9901,                0.93629,               0.006238,               0.006238,               0.006238
                     40,                 1.3573,                0.99524,                0.93716,                 0.4798,                0.35618,                0.36695,                0.21736,                  1.326,                0.99053,                  0.937,               0.006139,               0.006139,               0.006139
                     41,                 1.3602,                0.98833,                0.93852,                0.47245,                0.36253,                0.37224,                0.22189,                 1.3218,                 0.9811,                0.93698,                0.00604,                0.00604,                0.00604
                     42,                 1.3539,                0.98789,                0.93841,                0.46881,                0.36838,                0.37231,                0.22324,                 1.3213,                0.97883,                0.93548,               0.005941,               0.005941,               0.005941
                     43,                 1.3485,                 0.9823,                0.93538,                0.48302,                0.36115,                0.37441,                0.22246,                 1.3195,                0.97545,                0.93624,               0.005842,               0.005842,               0.005842
                     44,                 1.3509,                0.98183,                0.93511,                0.48163,                0.36686,                0.37636,                0.22406,                 1.3149,                0.97364,                0.93494,               0.005743,               0.005743,               0.005743
                     45,                 1.3504,                0.97741,                0.93546,                0.48541,                0.36516,                0.37591,                0.22475,                 1.3159,                0.97384,                0.93422,               0.005644,               0.005644,               0.005644
                     46,                 1.3409,                0.97263,                0.93538,                0.49363,                0.36113,                0.37857,                0.22622,                 1.3148,                0.97349,                0.93472,               0.005545,               0.005545,               0.005545
                     47,                 1.3433,                0.97506,                0.93489,                 0.4834,                 0.3642,                0.37867,                0.22528,                 1.3142,                0.96916,                0.93306,               0.005446,               0.005446,               0.005446
                     48,                 1.3372,                0.96984,                0.93368,                0.48548,                0.37181,                0.38171,                0.22683,                  1.315,                0.96759,                0.93441,               0.005347,               0.005347,               0.005347
                     49,                  1.343,                0.96685,                0.93316,                0.49122,                0.36871,                0.38047,                0.22697,                 1.3116,                0.96993,                0.93349,               0.005248,               0.005248,               0.005248
                     50,                 1.3393,                0.96448,                0.93122,                0.48483,                0.37671,                 0.3855,                0.23003,                   1.31,                0.96437,                0.93321,               0.005149,               0.005149,               0.005149
                     51,                 1.3376,                0.96418,                0.93308,                0.49586,                0.37147,                0.38432,                0.22847,                 1.3144,                0.96236,                0.93485,                0.00505,                0.00505,                0.00505
                     52,                 1.3294,                0.95727,                0.93171,                0.48554,                 0.3735,                0.38234,                0.22814,                 1.3086,                0.96401,                0.93236,               0.004951,               0.004951,               0.004951
                     53,                 1.3317,                 0.9565,                0.93176,                0.48919,                0.37013,                0.38086,                0.22711,                  1.307,                0.96396,                0.93179,               0.004852,               0.004852,               0.004852
                     54,                 1.3227,                0.95294,                0.92943,                 0.4813,                0.37827,                0.38316,                0.22794,                 1.3054,                0.95875,                0.93191,               0.004753,               0.004753,               0.004753
